course_code,course_title,section,grades_count,avg_gpa,std_dev,median_gpa,pct_A,pct_B,pct_C,pct_D,pct_F,pct_P,pct_I,pct_AU,pct_W_AW,letters_count,term,faculty
CSCI 447,Machine Learning:Theory and Practice,1L,37,3.49,0.7,3.67,67.6,29.7,0.0,0.0,2.7,0.0,0.0,0.0,0.0,37,FA2025,Hari Mohan Rai
CSCI 471,Complexity andComputability,1L,19,2.28,1.35,2.33,15.4,19.2,15.4,11.5,11.5,0.0,0.0,0.0,26.9,26,FA2025,MeiramMurzabulatov
CSCI 494,Deep Learning,1L,72,3.26,0.51,3.33,25.6,61.5,5.1,0.0,0.0,0.0,0.0,3.8,3.8,78,FA2025,Siamac Fazli
ROBT 201,Mechanics: Statics andDynamics,1L,63,3.14,0.69,3.33,37.5,43.8,17.2,0.0,0.0,0.0,0.0,0.0,1.6,64,FA2025,AibekNiyetkaliyev
ROBT 203,Electrical and ElectronicCircuits I with Lab,1L,34,2.32,0.96,1.84,17.6,17.6,55.9,8.8,0.0,0.0,0.0,0.0,0.0,34,FA2025,Ton Duc Do
ROBT 205,Signals and Sensing withLab,1Lb,39,2.97,0.89,3.33,35.9,33.3,20.5,10.3,0.0,0.0,0.0,0.0,0.0,39,FA2025,TogzhanSyrymova
ROBT 301,Mechanical Design withCAD and MachiningLaboratory,1L,26,3.13,0.72,3.33,38.5,42.3,19.2,0.0,0.0,0.0,0.0,0.0,0.0,26,FA2025,AibekNiyetkaliyev
ROBT 303,Linear Control Theorywith Lab,1L,24,2.11,1.4,2.16,19.2,23.1,19.2,11.5,19.2,0.0,0.0,0.0,7.7,26,FA2025,Tohid Alizadeh
ROBT 310,Image Processing,1L,32,3.34,0.91,3.67,63.6,21.2,6.1,3.0,3.0,0.0,0.0,0.0,3.0,33,FA2025,ZhanatKappassov
ROBT 403,"Robotics II: Control,Modeling and Learningwith Laboratory",1L,16,2.9,0.89,3.0,29.4,41.2,11.8,11.8,0.0,0.0,0.0,0.0,5.9,17,FA2025,Tohid Alizadeh
ROBT 407,Machine Learning withApplications,1L,34,3.24,0.59,3.33,38.2,50.0,8.8,2.9,0.0,0.0,0.0,0.0,0.0,34,FA2025,BerdakhAbibullaev
ROBT 491,Capstone Project I,1L,16,3.73,0.39,3.84,87.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,FA2025,TogzhanSyrymova
PETE 201,Fluid Mechanics andThermodynamics,1L,33,3.19,0.66,3.33,33.3,54.5,9.1,3.0,0.0,0.0,0.0,0.0,0.0,33,FA2025,Shams Kalam
PETE 301,Numerical Methods forPetroleum Engineers,1L,28,3.16,0.62,3.33,35.7,53.6,10.7,0.0,0.0,0.0,0.0,0.0,0.0,28,FA2025,SagynOmirbekov
PETE 302,Reservoir Engineering Iwith Laboratory works,1L,27,3.35,0.54,3.33,44.4,48.1,7.4,0.0,0.0,0.0,0.0,0.0,0.0,27,FA2025,Masoud Riazi
PETE 303,Well Logging andFormation Evaluation,1L,29,2.63,0.66,2.67,3.4,58.6,31.0,6.9,0.0,0.0,0.0,0.0,0.0,29,FA2025,Ali Shafiei
PETE 304,Well Completion andStimulation,1L,31,3.16,0.62,3.33,35.5,48.4,16.1,0.0,0.0,0.0,0.0,0.0,0.0,31,FA2025,Irawan Sonny
PETE 405,Enhanced Oil Recovery,1L,14,3.24,0.24,3.33,14.3,85.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,FA2025,PeymanPourafshary
PETE 409,Surface Facilities,1L,13,3.61,0.3,3.67,53.8,46.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,FA2025,Mian UmerShafiq
GEOL 201,Mineralogy,1L,18,2.63,0.79,2.67,22.2,33.3,38.9,5.6,0.0,0.0,0.0,0.0,0.0,18,FA2025,Kamal Regmi
GEOL 202,Geologic Maps and Cross-Sections,1L,10,2.5,0.76,2.5,10.0,40.0,40.0,10.0,0.0,0.0,0.0,0.0,0.0,10,FA2025,Jovid Aminov
GEOL 203,Sedimentary petrology,1L,12,3.28,0.62,3.5,46.2,30.8,15.4,0.0,0.0,0.0,0.0,0.0,7.7,13,FA2025,Jovid Aminov
GEOL 207,Geomorphology,1L,10,3.0,0.63,3.16,20.0,60.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,10,FA2025,Medet Junussov
GEOL 302,Thermodynamics andGeochemistry,1L,11,2.88,0.6,3.0,7.7,61.5,15.4,0.0,0.0,0.0,0.0,0.0,15.4,13,FA2025,Kamal Regmi
GEOL 303,Structural Geology andTectonics,1L,13,3.08,0.68,3.33,35.7,42.9,14.3,0.0,0.0,0.0,0.0,0.0,7.1,14,FA2025,SebastianusWillem JosefDen Brok
GEOL 305,Geology of ore deposits,1L,23,3.1,0.56,3.33,25.0,62.5,8.3,0.0,0.0,0.0,0.0,0.0,4.2,24,FA2025,GeorgeMathews
GEOL 310,Field Geology,2,1,13,3.49,0.42,3.33,46.2,53.8,0.0,0.0,0.0,0.0,0.0,0.0,0,FA2025,
