registrar_id,course_code,pre_req,anti_req,co_req,level,school,description,department,title,credits,term
8398,WLL 710,,,,PhD,SSH,The course addresses a range of approaches in Literary Theory. It functions as a collaborative reading group committed to making sense of some allegedly difficult texts and testing their most counterintuitive ideas on familiar literary works. The course seeks to steer the class toward a better understanding of the benefits of critical thinking as contrasted with commonsensical assumptions about literature and culture by (re)visiting selected theorists from Aristotle to Larour.,"Languages, Literature and Linguistics",Literary Theory,8,Spring 2026
2510,ECON 522,ECON 502 Macroeconomics I (2186) (C- and above) AND ECON 512 Mathematical Economics (2154) (C- and above),,,GrM,SSH,"Advanced Macroeconomics provides students with a comprehensive theoretical and empirical foundation in modern dynamic macroeconomic analysis. The curriculum synthesizes rigorous analytical formalization with computational implementation, including the representative agent RBC framework, the new Keynesian model, fiscal policy, optimal monetary policy, search and matching in the labor markets, and the sophisticated heterogeneous agent models.",Economics,Macroeconomics II,8,Spring 2025
8075,MBA 07,,,,GrM,GSB,To be an effective manager and leader requires both a broad understanding of how organizations function as well as personal skills for managing people and relationships.,GSB,Management and Organizations,6,Spring 2025
1852,ECON 120,,,,UG,SSH,The goal of this course is to learn how to apply microeconomic principles and quantitative tools to managerial decisions. ,Economics,Managerial Economics,6,Fall 2025
8263,MBA 08,,,,GrM,GSB,The concepts and skills you learn in this course will enable you to develop a coherent marketing strategy for an organization.,GSB,Marketing,6,Spring 2025
4030,ANT 520,,,,GrM,SSH,The field of material culture studies inverts the longstanding focus on how people make things by also investigating technological behaviors that both shape and are shaped by the individuals who perform them ––objects have substantially more power than we give them credit for. Of particular focus in this course will be the role of anthropology in constructing narratives of ‘Things.’ We will critically evaluate modes for thinking about materiality over time through specific attention to Eurasia from prehistory to the present day.,Sociology and Anthropology,Materiality and Eurasian Society,8,Spring 2022
5399,MATH 582,,,,GrM,SSH,"Exponential, logistic, and Gompertz growth, Harvest models, Stochastic birth and death processes, discrete-time models, delay models, predator-prey models, chemostat models, competition models, mutualism models, spatially structured models, age structured models. ",Mathematics,Mathematical Biology,8,Fall 2025
2982,ECON 551,ECON 511 Mathematics and Statistics (2188) (C and above),,,GrM,SSH,The course aims to cover knowledge of basic financial actuarial models with applications and to prepare students pass the actuarial financial economics (MFE) exam.,Economics,Mathematical Finance,8,Spring 2026
5685,MATH 510,,,,GrM,SSH,"This course is an introduction to the subject of measure theory and Lebesgue integration, and its applications in probability.",Mathematics,Measure Theory and Applications,8,Fall 2025
8509,CHEM 723,,,,PhD,SSH,"The course will cover formulation and solution of technology problems involving the design of membrane systems for various applications including gas separation, reverse osmosis, nanofiltration, pervaporation, ultrafiltration, microfiltration, fuel cell, and gas sensor with specific emphasis on energy-intensive processes. Membrane selection, fabrication, and preparation of polymeric, carbon molecular sieve, and mixed-matrix membranes along with essential knowledge of transport principles. A major fraction of the course will be dedicated to covering polymer membranes, including the synthesis of high-performance polymers, the formation of integral-asymmetric and thin-film composite membranes, and hollow fiber technology. The course prepares students for independent research and a series of lab demonstrations and final presentations together with many literature reviews. ",Chemistry,Membrane Science and Technology,8,Spring 2026
2506,ECON 521,ECON 501 Microeconomics I (2187) (C- and above) AND ECON 512 Mathematical Economics (2154) (C- and above),,,GrM,SSH,"Advanced Microeconomics covers more advanced topics in macro economics. In the first part it covers the decision theory of the consumers, choice rules, the weak axiom of revealed preferences, the compensated law of demand, the substitution and income effects, the Slutsky matrix, rational preferences, utility representations, Sheppard’s Lemma, Roy’s identity, preferences over loteries, the Independence Axiom, the expected utility theorem, risk attitudes, general equilibrium  existence and welfare theorems, economies with an infinite horizon and overlapping generation economies. The second part explores advanced topics in auctions, mechanism design, and strategic communication under incomplete information. It begins with auction theory, first-price and second-price auctions, revenue equivalence, and optimal mechanism design. It then examines dynamic games of incomplete information, introducing Perfect Bayesian Equilibrium and its applications to signaling games. Other applications include job market signaling (Spence), adverse selection (Akerlof’s Market for Lemons), strategic information disclosure, and cheap talk models. Finally, the course explores herd behavior, Bayesian persuasion, and advanced monopoly pricing strategies, including price discrimination and its limitations.",Economics,Microeconomic Theory II,8,Spring 2025
6664,MINE 408,,,,UG,SMG,"This course will teach students on fundamentals of mine risk management related with risk of injuries / fatalities, environmental, financial, operational and technological.  Demonstrates systematic application of policies, processes and procedures to identify, analyze, assess, treat and monitor risk in mining. Introduces a basis of managing the occupational safety and health risks of a mining operation.",Mining Engineering,Mine Risk Management ,6,Spring 2024
7224,PHDBS 704,,,,PhD,SoM,This course will teach students to critically discuss research results. Presentations will be given by national and international experts on different topics. Students will also be given the opportunity to orally present and discuss their own results.,PHD,NUSOM seminar (final semester),8,Spring 2025
4637,MATH 576,,,,GrM,SSH,"Finite difference, volume, and element methods; explicit/implicit methods for time integration; Convergence, consistency, stability; the Poisson equation, heat equation, wave equation, advection-diffusion equation, and Stokes equation.",Mathematics,Numerical Methods for Partial Differential Equations,8,Fall 2025
5221,MATH 514,,,,GrM,SSH,"Operations research helps in solving problems in different environments that needs decisions. This course covers topics that include: mathematical programming, stochastic optimization, fuzzy optimization, dynamic programming, deterministic and stochastic optimal control, multi-criteria decision aid, and application to engineering, finance, management.",Mathematics,Operations Research,8,Fall 2025
